tcin,price,Region,Alcohol Percentage,Wine varietals,rating,taste,quality,value
14778346,12.99,Mendoza,14.5,Malbec,4.78,5.0,5.0,5.0
14777653,12.99,California,13.8,Cabernet Sauvignon,4.3,5.0,5.0,5.0
80279647,7.99,California,13.5,Red Blend,4.34,4.47,4.33,4.53
80279645,7.99,California,13.5,Cabernet Sauvignon,4.25,4.0,3.75,4.25
13426254,9.99,California,13.8,Pinot Noir,4.46,5.0,5.0,5.0
14766532,15.99,"Lodi, California",15,Zinfandel,4.53,5.0,5.0,5.0
13359290,8.99,California,13.5,Merlot,4.41,5.0,5.0,5.0
13462200,5.99,California,13.9,Cabernet Sauvignon,4.53,4.0,4.25,4.75
50030295,78.99,Champagne,12.5,Prosecco,4.94,5.0,5.0,5.0
79182389,12.99,"Columbia Valley, Washington",13.5,Pinot Grigio,4.25,4.27,4.82,4.64
13462181,17.99,California,13.0,Cabernet Sauvignon,4.1,3.17,4.33,4.2
13463193,10.99,Australia,13,Cabernet Sauvignon,4.73,5.0,5.0,5.0
14778335,5.99,California,10.0,Pink Moscato,4.38,5.0,5.0,5.0
54659065,10.99,Italy,11.5,Rose,4.4,4.27,4.36,4.36
14766491,13.99,California,13,Rose,4.24,4.0,4.0,3.67
14896558,11.99,New Zealand,13,Sauvignon Blanc,4.77,3.67,3.67,3.67
13299907,9.99,California,8.5,Spumante,4.61,5.0,5.0,5.0
13359255,14.99,New Zealand,13,Sauvignon Blanc,4.68,4.45,4.32,4.12
14775908,9.99,California,13.5,Sauvignon Blanc,4.7,5.0,5.0,5.0
47134065,12.99,Italy,12.5,White Moscato,4.66,4.78,5.0,4.94
14775622,13.99,California,13.5,Chardonnay,4.72,5.0,5.0,5.0
13378636,24.99,Trentino Alto-Adige,12.0,Pinot Grigio,4.47,4.33,4.2,4.0
80350886,14.99,New Zealand,7,Sauvignon Blanc,4.6,3.2,3.4,2.9
52280282,18.99,California,13,Cabernet Sauvignon,4.17,1.0,2.0,4.0
14778347,9.99,Germany,9,Riesling,4.43,4.2,4.2,5.0
51502217,14.99,California,14.8,Chardonnay,4.11,3.5,4.0,4.0
17125358,8.99,California,13.5,Sauvignon Blanc,4.66,5.0,5.0,5.0
52644045,16.99,"Paso Robles, California",10.0,Sauvignon Blanc,4.45,4.33,4.67,4.67
14766355,11.99,California,13.8,Sauvignon Blanc,4.8,4.5,5.0,5.0
54452964,9.99,Midwestern United States,7,White Moscato,4.69,5.0,5.0,5.0
54296337,9.99,California,12,Pinot Grigio,4.1,2.71,3.0,2.71
14765624,17.99,Marlborough,12.0,Sauvignon Blanc,4.72,5.0,5.0,4.75
13359467,10.99,Marlborough,12.5,Sauvignon Blanc,4.69,5.0,5.0,5.0
79319101,18.99,France,13,Sauvignon Blanc,4.76,3.5,3.5,4.0
79628744,9.99,California,11,Prosecco,4.4,5.0,5.0,4.75
53209606,13.99,France,12.5,Rose,4.05,3.78,3.78,4.0
13300817,9.99,California,11.5,Riesling,4.63,5.0,5.0,5.0
79329829,9.00,California,13.0,Pinot Grigio,4.44,4.8,5.0,5.0
80223173,9.00,California,10.0,White Moscato,4.82,4.63,4.75,5.0
13462182,17.99,California,13.5,Sauvignon Blanc,3.98,3.15,2.91,3.0
13300262,9.99,California,13.0,Chardonnay,4.24,0.0,0.0,0.0
13463194,10.99,Australia,13,Chardonnay,4.92,0.0,0.0,0.0
81643119,6.99,United States,6.5,Fruit Varietal,4.4,4.0,4.08,4.36
13300814,9.99,Argentina,9,White Moscato,4.68,5.0,1.0,1.0
53194719,17.99,California,13.5,Rose,4.08,4.0,3.5,3.75
54210154,9.99,California,12,Rose,4.12,3.89,3.89,4.22
84723811,11.99,"Monterey, California",9,Rose,4.6,4.25,4.5,4.0
80279648,18.99,France,12.6,Multiple Varietals,3.82,3.47,3.63,3.26
49086690,18.99,California,13.5,Chardonnay,4.45,1.0,1.0,
54343314,12.99,United States,13.7,Pinot Noir,4.75,4.45,4.32,4.12
52280285,18.99,United States,13.5,Red Blend,4.39,3.0,3.0,3.0
52232267,32.99,"Paso Robles, California",14.5,Cabernet Sauvignon,4.75,4.0,4.0,4.0
49086689,18.99,"Sonoma, California",13,Cabernet Sauvignon,4.52,4.5,4.75,5.0
83827711,3.99,Spain,13,Cabernet Sauvignon,3.31,2.0,2.0,2.0
13359259,10.99,California,13.5,Cabernet Sauvignon,4.39,1.0,1.0,1.0
14766058,10.99,Spain,11.0,Cava,4.55,4.4,4.4,4.4
13313161,6.49,California,9.5,Champagne,4.55,4.67,5.0,5.0
14765733,19.99,California,13.0,Champagne,4.89,5.0,5.0,5.0
13728569,11.99,Italy,7.5,Asti Spumante,4.79,5.0,5.0,5.0
80279643,18.99,Chile,12.5,Sauvignon Blanc,3.88,1.0,1.0,1.0
52359319,16.99,Italy,11.0,Prosecco,4.82,5.0,5.0,5.0
83827713,3.99,Italy,13,Pinot Grigio,4.2,5.0,5.0,5.0
54343236,9.99,New Zealand,13,Sauvignon Blanc,4.66,4.45,4.32,4.12
81252753,6.49,California,8,Fruit Varietal,4.58,4.0,4.67,5.0
53222354,12.99,Provence,13,Rose,5.0,5.0,5.0,5.0
83827714,3.99,France,12,Rose,4.0,2.33,2.33,4.0
79722689,16.99,California,12,Rose,4.29,4.1,4.2,4.0
54222349,10.99,France,13,Rose,3.87,2.67,2.83,2.67
52896839,10.99,Italy,5,Fruit Varietal,4.8,4.85,4.85,4.9
51304821,12.99,California,15.9,Red Blend,4.39,5.0,5.0,5.0
52896841,10.99,Italy,5,Red Blend,4.78,4.33,4.42,4.42
47911451,13.99,California,13.9,Merlot,4.5,5.0,4.0,5.0
13421589,12.99,"Columbia Valley, Washington",13.5,Cabernet Sauvignon,4.26,3.5,3.5,3.5
13397374,9.99,California,14.5,Merlot,4.67,5.0,5.0,5.0
53621673,19.99,"Paso Robles, California",14.5,Cabernet Sauvignon,4.71,5.0,5.0,5.0
47132851,15.99,"Columbia Valley, Washington",14.5,Cabernet Sauvignon,4.85,0.0,0.0,0.0
82867910,10.99,California,9.65,Red Blend,3.72,3.0,3.5,4.0
13463121,5.99,Australia,13,Cabernet Sauvignon,4.0,3.67,3.33,3.67
13421412,13.99,"Columbia Valley, Washington",13.5,Merlot,4.8,0.0,0.0,0.0
14779412,9.99,California,14.5,Red Blend,4.8,5.0,5.0,5.0
13462737,5.99,Australia,13.5,Syrah/Shiraz,4.22,3.0,3.0,3.5
52525707,8.99,California,13.5,Cabernet Sauvignon,4.07,3.13,3.13,3.5
81894236,11.99,Italy,7,Red Blend,4.72,5.0,5.0,5.0
47134361,9.99,California,14.5,Pinot Noir,4.89,5.0,4.8,4.8
53817356,8.99,California,13.5,Pinot Noir,4.11,1.0,1.0,2.0
53817357,8.99,California,13.8,Merlot,4.42,5.0,5.0,5.0
53805767,11.99,Italy,14,Red Blend,3.93,3.6,4.4,4.6
81783101,9.99,California,14,Merlot,4.25,5.0,5.0,5.0
52639265,16.99,Piedmont,5.5,Red Moscato,4.75,5.0,5.0,5.0
14767279,5.99,California,10.5,Red Blend,4.23,4.0,3.5,4.0
13299908,6.99,California,13.0,Cabernet Sauvignon,4.33,0.0,0.0,0.0
13299909,5.99,California,12.5,Pinot Noir,4.39,4.5,4.5,4.5
14767824,5.99,Australia,12,Red Blend,3.75,4.0,4.0,5.0
13397028,9.99,California,14.5,Petit Syrah,4.94,4.8,4.8,5.0
51759155,14.99,Burgundy,13.27,Beaujolais,5.0,0.0,0.0,0.0
47134208,17.99,California,14.5,Red Blend,5.0,5.0,5.0,5.0
14767280,8.99,California,13.5,Red Blend,3.65,2.75,3.0,2.8
79806660,14.99,Piedmont,5.5,Red Blend,4.5,1.0,3.0,1.0
51752659,16.99,"Columbia Valley, Washington",14.5,Merlot,0.0,0.0,0.0,0.0
13426451,8.99,California,13.5,Cabernet Sauvignon,4.2,1.0,1.0,1.0
81827141,13.99,Italy,5,Red Blend,5.0,0.0,0.0,0.0
